Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930319,106.861,-45.62661,-11.14345,-1.446322,24.82754,-4.53157,4.324607,-5.427216,22.06971,-6.550021,9.458828,-0.7531187,-7.800674,-18.15725,0.9580874
19930320,118.6311,-56.18457,-8.307361,3.051586,26.46159,-4.932975,2.620982,-1.155173,19.20281,-3.389663,15.41551,-2.253688,-9.317969,-18.88919,-1.734096
19930321,119.3794,-59.55165,-7.632055,-2.35968,23.64366,-9.396369,3.347174,4.02545,18.86997,-5.634103,14.93681,-6.993085,-5.034239,-11.77723,-5.117992
19930322,111.0138,-63.66816,-3.054928,-14.8464,17.77947,-10.00534,0.2752925,5.99429,20.19172,-4.826453,19.74902,-3.430403,-5.148211,-5.151997,-9.826496
19930323,99.29166,-61.82775,3.67381,-23.56347,18.81927,-8.811542,-3.185007,12.91152,19.91218,-2.569309,23.94861,4.942608,-4.358744,2.976099,-8.84503
19930324,89.6016,-62.22153,10.56618,-21.21041,16.59102,-8.18557,-7.799795,13.2644,24.588,2.225164,25.84606,2.739123,-2.869319,4.390491,-4.81466
19930325,85.65937,-62.31335,21.80525,-24.1855,16.15706,-4.845568,-10.86057,15.64888,21.46725,3.372419,26.33672,9.999997,-2.452279,7.201377,2.947794
19930326,81.31915,-62.07228,26.43002,-21.88731,17.91122,-3.433125,-17.27909,7.843354,21.5709,6.168165,30.49121,19.2757,-5.189567,3.463318,6.736946
19930327,79.19539,-55.68372,28.67134,-19.21217,20.39692,-5.886639,-14.45457,-1.040337,24.16265,3.51223,27.02287,15.38608,-3.671301,-1.830523,3.037094
19930328,74.19041,-42.49781,24.20656,-26.63136,24.88616,-6.848617,-1.67405,-10.67992,23.58124,1.360946,22.96084,5.032475,-0.4674594,-7.171385,-1.334774
19930329,70.81792,-33.34746,19.91298,-29.57722,31.10177,-9.475559,7.931062,-12.83085,16.49445,0.4663213,17.95474,-1.579001,1.504887,-8.10768,-4.67754
19930330,73.211,-33.40176,4.747988,-21.26321,33.54001,-12.39192,14.84718,-16.35022,13.42044,-6.046397,13.91608,-6.047752,3.877962,-3.689726,-3.774693
19930331,73.19234,-29.7764,-10.41673,-16.31308,27.82137,-12.00996,11.39387,-13.14427,6.510339,-11.63269,17.09653,-5.515496,4.028038,-6.094819,-4.225965
19930401,75.82378,-24.76003,-19.36308,-19.91572,17.75255,-12.81955,0.7224191,-2.674863,6.345732,-8.997882,16.55653,-3.458757,4.686631,-5.316955,-4.606156
19930402,83.76929,-20.03873,-13.02487,-32.36206,16.78005,-10.76626,-5.974758,-0.146657,11.53047,-3.552877,12.71453,-0.567202,3.961053,1.93567,-2.377757
19930403,88.26888,-14.54278,-3.347888,-44.37252,15.73779,-4.911003,-11.671,0.8459945,19.35674,5.562849,8.885587,-2.339961,2.339398,-0.08182763,0.6755552
19930404,83.6148,-5.192182,-2.749898,-45.62724,25.46607,-4.474629,-12.83641,-9.622183,24.46799,5.212409,5.839571,0.171267,-1.183357,-5.901669,1.334913
19930405,78.99689,-3.505608,-8.042471,-38.12008,29.09283,-11.14523,-16.36687,-21.24729,25.29549,-2.455062,-4.672089,-0.5988981,-0.3411492,-6.75939,2.076804
19930406,78.88284,-7.019043,-14.97181,-27.22416,30.57301,-19.44773,-19.22966,-23.73251,23.4981,-7.611764,-8.662919,1.903446,2.0392,-9.511125,7.535508
19930407,87.47138,-11.00951,-22.80658,-21.64968,25.42973,-23.16817,-24.25547,-16.1514,23.4466,-7.381647,-6.750567,11.81008,3.206959,-2.962501,9.579215
19930408,90.05161,-14.83525,-27.03062,-15.63689,26.17714,-22.673,-22.57627,-13.36218,24.00578,-8.29535,-3.467387,14.47003,5.742549,2.722258,8.592162
19930409,108.587,-32.71429,-33.42936,1.409297,25.26569,-16.4134,-16.66996,-18.33595,26.47646,-1.918206,-4.296625,0.9892129,7.56755,-3.680673,11.76232
19930410,111.4559,-48.16159,-24.7769,2.129906,19.60054,-12.50871,-0.7943641,-12.71308,23.62979,-5.024117,3.571542,-6.478739,9.301929,-1.379105,5.660863
19930411,111.8413,-52.17213,-16.39965,-2.522454,27.26518,-9.247711,-0.2752383,-8.807224,23.27112,-2.659604,6.349651,-9.703715,12.81015,0.4752472,2.484653
19930412,116.7135,-54.32818,-18.28928,-7.666008,29.59361,-10.5873,-2.730394,-10.752,23.48136,-0.5938331,5.351641,-13.64588,12.07533,0.5305535,1.240525
19930413,119.3199,-56.88226,-16.23836,-9.019564,19.24854,-11.05941,-0.1738944,-6.319025,17.27253,1.403674,6.79652,-15.37298,13.51196,-5.075596,2.29985
19930414,110.2312,-58.59222,-9.298743,-12.92318,10.67796,-4.738601,1.848686,-3.822179,14.00983,0.1422741,11.49803,-14.15588,13.1401,-4.720975,2.305268
19930415,103.5925,-60.87787,-4.385673,-18.59864,8.644129,-4.100724,-3.925774,-2.508176,13.44347,-0.5992936,13.99,-13.15053,12.50788,0.3727945,2.178692
19930416,96.62616,-64.82499,-9.418883,-17.03899,1.462878,-5.097514,-10.68558,-2.739274,9.133289,-11.19533,17.58644,-6.848844,10.77328,6.252522,1.094822
19930417,92.33121,-54.83128,-12.87551,-20.11939,-0.8776379,-8.252663,-12.45496,-4.722112,8.731362,-19.94505,18.37609,-5.561349,5.653944,9.155075,-1.617195
19930418,88.99203,-51.59357,-5.074352,-17.96151,-3.86004,-8.563503,-13.05974,-2.638739,6.60173,-23.83072,21.72044,-10.0079,1.827637,8.540156,2.2609
19930419,96.22681,-47.95487,1.706565,-20.16708,-3.115336,-5.807336,-13.33676,-5.853983,7.200439,-22.8695,23.0668,-12.04569,1.803789,4.696481,1.205735
19930420,108.1512,-46.79778,-0.07321191,-27.61686,-3.207164,-1.923877,-9.7383,-2.685697,13.05683,-23.95416,25.07899,-20.04478,6.196987,-3.519683,1.718294
19930421,112.2409,-42.84009,4.39187,-33.82623,-5.759572,-5.29834,-7.785439,9.530107,14.88583,-18.54692,25.6427,-11.68493,8.724367,0.3534857,5.600039
19930422,117.6324,-33.01157,9.003156,-37.10976,0.5038928,-6.181981,-12.60219,6.175451,19.94593,-6.961841,27.28875,-7.3404,7.914459,8.4029,9.048257
19930423,120.8034,-24.18327,23.28906,-40.75803,14.00257,-7.662205,-20.87556,-2.092391,21.68027,-0.9428039,20.09767,-4.128009,7.561663,7.882654,8.061899
19930424,120.398,-13.33977,30.78766,-45.73826,17.31943,-8.457241,-19.58803,-7.088512,16.4572,-1.954203,16.16465,-10.23065,4.307401,3.654566,11.50855
19930425,118.7142,-9.300366,21.9328,-41.51225,12.19113,-5.914268,-32.33746,-16.93305,9.868753,-4.276825,13.55687,-9.281033,12.64869,7.534118,10.96391
19930426,115.4495,-8.882131,16.49632,-33.36987,12.88497,-1.886061,-33.24788,-22.5283,3.957921,-7.459667,13.83138,-8.168614,16.96607,14.24021,11.89462
19930427,103.3238,-4.11075,17.21298,-32.03404,16.04251,-7.519236,-36.19809,-13.43721,-2.392761,0.6480535,25.4396,-2.448836,19.3376,15.84634,12.93568
19930428,92.4287,-0.3906993,28.94239,-31.43192,17.65164,-1.163051,-44.05413,-6.693901,-2.951147,4.274511,28.06331,-7.30465,18.49561,9.265586,15.22484
19930429,90.11757,0.3506677,38.61967,-28.39757,18.75974,5.18791,-46.13674,-2.861854,0.116785,6.778093,26.32466,-12.38537,19.30783,1.465278,12.40898
19930430,90.00294,5.052513,38.3448,-24.98042,22.8833,9.419808,-46.09907,-7.046579,0.1352177,6.618464,26.84846,-16.80602,27.66028,-4.735568,5.154481
