Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930306,-14.89661,0.5366185,0.4117286,1.327484,-3.923116,-0.6166754,2.607299,-5.31215,2.860221,0.9104053,-3.200258,-1.227796,-0.2615067,-2.185521,-1.479528
19930307,-14.82878,0.3037983,0.2632733,1.275083,-3.763142,-0.6148905,2.686079,-5.367138,2.740536,1.191299,-3.206222,-1.31385,-0.2069444,-1.975012,-1.564588
19930308,-14.75629,0.1406331,0.127115,1.22942,-3.671074,-0.5694529,2.746676,-5.411921,2.608994,1.388083,-3.170434,-1.371612,-0.1685375,-1.876713,-1.628772
19930309,-14.73267,0.008448067,0.0313882,1.212254,-3.604847,-0.5093282,2.814213,-5.466734,2.473823,1.524791,-3.140645,-1.394923,-0.1009841,-1.741921,-1.707215
19930310,-14.69908,-0.1603893,-0.07089122,1.163298,-3.485744,-0.4859552,2.895179,-5.532785,2.30437,1.744742,-3.13278,-1.452106,-0.03933113,-1.51634,-1.829369
19930311,-14.67725,-0.3048077,-0.1699305,1.091687,-3.385709,-0.4507134,2.967333,-5.568076,2.127766,1.964951,-3.131366,-1.479865,-0.005785638,-1.331786,-1.928573
19930312,-14.6431,-0.3923534,-0.1964204,1.042024,-3.30831,-0.4164668,3.000342,-5.595411,1.94759,2.154017,-3.129183,-1.480573,0.02846734,-1.193747,-2.00999
19930313,-14.62825,-0.490018,-0.207877,0.9727716,-3.199218,-0.3963079,3.037187,-5.612234,1.756664,2.334263,-3.174107,-1.513894,0.05030203,-1.05006,-2.117029
19930314,-14.56019,-0.6084021,-0.2077188,0.8622125,-3.084781,-0.3897888,3.069306,-5.6165,1.550818,2.527174,-3.260772,-1.587047,0.06587192,-0.9113299,-2.229748
19930315,-14.49473,-0.6897973,-0.1661316,0.7727963,-3.001533,-0.4051444,3.106221,-5.570362,1.367326,2.690997,-3.380371,-1.662647,0.1098249,-0.8755776,-2.327967
19930316,-14.42569,-0.6950321,-0.1025964,0.6702745,-2.89436,-0.4480532,3.120112,-5.48031,1.18689,2.854085,-3.501384,-1.745905,0.1751152,-0.8470392,-2.425909
19930317,-14.33708,-0.7032539,-0.007630336,0.57473,-2.782063,-0.4952021,3.104075,-5.36763,1.018306,2.984892,-3.656315,-1.840639,0.2391086,-0.8511449,-2.533338
19930318,-14.24539,-0.669449,0.09922574,0.485559,-2.706252,-0.5656725,3.101263,-5.207707,0.8822114,3.081881,-3.821536,-1.902963,0.2812646,-0.9213127,-2.622362
19930319,-14.18174,-0.618468,0.2088024,0.4372706,-2.623818,-0.668636,3.143393,-5.031796,0.7813041,3.121871,-3.96989,-1.947193,0.3456022,-1.016215,-2.689229
19930320,-14.14176,-0.5799034,0.304981,0.4022346,-2.551156,-0.7281741,3.191091,-4.885162,0.7107502,3.140685,-4.090399,-1.97814,0.430473,-1.076939,-2.758379
19930321,-14.1405,-0.4999592,0.4289639,0.3904389,-2.522025,-0.7844856,3.255398,-4.742939,0.6648386,3.133217,-4.143473,-1.987446,0.48781,-1.102422,-2.809029
19930322,-14.20144,-0.4458309,0.5254933,0.4259004,-2.50397,-0.8139896,3.356496,-4.583738,0.6367094,3.090842,-4.185337,-1.949463,0.5778197,-1.080684,-2.844728
19930323,-14.33067,-0.3771348,0.5989761,0.5045518,-2.509326,-0.8120809,3.441883,-4.493768,0.5766641,3.021682,-4.182151,-1.867628,0.6746123,-1.000177,-2.858249
19930324,-14.48606,-0.3146653,0.6854203,0.6235517,-2.532136,-0.7777135,3.546152,-4.464753,0.4815302,2.963293,-4.165508,-1.751967,0.7732884,-0.8335923,-2.848066
19930325,-14.62594,-0.2723678,0.7458839,0.726763,-2.545853,-0.7589914,3.64214,-4.465516,0.3730857,2.923965,-4.145617,-1.638929,0.8679555,-0.6311866,-2.853442
19930326,-14.82653,-0.2304606,0.819154,0.8657467,-2.513761,-0.7030241,3.70559,-4.470086,0.235602,2.927278,-4.082456,-1.575337,0.9514012,-0.3399574,-2.881575
19930327,-15.03313,-0.1734273,0.899605,1.021536,-2.472597,-0.6298882,3.754512,-4.494787,0.05096028,2.928991,-3.996078,-1.500048,1.005972,-0.06945663,-2.879013
19930328,-15.21151,-0.09070244,0.985221,1.133389,-2.399426,-0.5661228,3.806815,-4.545469,-0.173235,2.90926,-3.93143,-1.439981,1.030528,0.2148727,-2.891457
19930329,-15.38698,-0.02691726,1.104772,1.240344,-2.291197,-0.4663585,3.859958,-4.556126,-0.4766781,2.911407,-3.878654,-1.375989,1.073282,0.4661948,-2.89484
19930330,-15.53011,0.03204514,1.213895,1.359174,-2.198009,-0.3401426,3.890422,-4.530609,-0.7593583,2.937963,-3.815529,-1.343815,1.112019,0.6551692,-2.87038
19930331,-15.59993,0.05198299,1.305393,1.448346,-2.015382,-0.2171717,3.905934,-4.46497,-1.101158,2.965849,-3.810182,-1.344922,1.116618,0.7623327,-2.854943
19930401,-15.66123,0.07271497,1.445268,1.553872,-1.812385,-0.1168003,3.918516,-4.383148,-1.490034,2.978631,-3.838315,-1.356712,1.105741,0.8060859,-2.834051
19930402,-15.6707,0.06979489,1.555115,1.642098,-1.572822,-0.002183778,3.93171,-4.259587,-1.909296,2.976475,-3.85193,-1.476359,1.065548,0.7008985,-2.81878
19930403,-15.70205,0.07901897,1.67015,1.744658,-1.332123,0.07559963,3.954978,-4.112576,-2.319677,2.941883,-3.898977,-1.5682,1.022789,0.6163152,-2.800144
19930404,-15.65461,0.09810913,1.821443,1.819343,-1.084193,0.1401742,3.960313,-3.930434,-2.696821,2.968924,-3.991194,-1.702557,0.970436,0.3920054,-2.777373
